,OBJECTID,Region,Division,ID,School,Municipali,Legislativ,Total_Enro,Total_Inst,Color_Code,Barangay,Province,District,Type_of_Sc,Rooms_used,Rooms_unused
7750,7751,Region VIII,Biliran,120868,Calumpang ES,NAVAL (Capital),Lone,686,18,Blue,CALUMPANG,BILIRAN,Naval South,School with no Annexes,19.0,0.0
7751,7752,Region VIII,Biliran,120869,CAPIÃAHAN ES,NAVAL (Capital),Lone,357,10,Blue,CAPIÑAHAN,BILIRAN,Naval South,School with no Annexes,10.0,0.0
7752,7753,Region VIII,Biliran,120870,Caraycaray CS,NAVAL (Capital),Lone,632,20,Blue,CARAYCARAY,BILIRAN,Naval South,School with no Annexes,18.0,0.0
7753,7754,Region VIII,Biliran,120871,Catmon ES,NAVAL (Capital),Lone,244,8,Blue,CATMON,BILIRAN,Naval South,School with no Annexes,8.0,0.0
7754,7755,Region VIII,Biliran,120872,Eden ES,NAVAL (Capital),Lone,120,4,Blue,CAPIÑAHAN,BILIRAN,Naval South,School with no Annexes,5.0,0.0
7755,7756,Region VIII,Biliran,120873,Haguikhican ES,NAVAL (Capital),Lone,276,9,Blue,HAGUIKHICAN,BILIRAN,Naval South,School with no Annexes,8.0,0.0
7756,7757,Region VIII,Biliran,120874,Imelda ES,NAVAL (Capital),Lone,158,6,Blue,IMELDA,BILIRAN,Naval South,School with no Annexes,6.0,0.0
7757,7758,Region VIII,Biliran,120875,Libtong Daku ES,NAVAL (Capital),Lone,180,6,Blue,LIBTONG DAKU,BILIRAN,Naval South,School with no Annexes,6.0,0.0
7758,7759,Region VIII,Biliran,120876,Libtong Gamay ES,NAVAL (Capital),Lone,65,2,Blue,LIBTONG DAKU,BILIRAN,Naval South,School with no Annexes,2.0,0.0
7759,7760,Region VIII,Biliran,120877,Lico ES,NAVAL (Capital),Lone,108,6,Blue,LICO,BILIRAN,Naval South,School with no Annexes,7.0,0.0
7760,7761,Region VIII,Biliran,120878,Lucsoon ES,NAVAL (Capital),Lone,266,8,Blue,LUCSOON,BILIRAN,Naval South,School with no Annexes,7.0,0.0
7761,7762,Region VIII,Biliran,120879,P.S. Eamiguel ES,NAVAL (Capital),Lone,211,6,Blue,PS EAMIGUEL,BILIRAN,Naval South,School with no Annexes,6.0,0.0
7762,7763,Region VIII,Biliran,120880,San Pablo ES,NAVAL (Capital),Lone,173,6,Blue,SAN PABLO,BILIRAN,Naval South,School with no Annexes,6.0,0.0
7763,7764,Region VIII,Biliran,120881,Villaconsuelo ES,NAVAL (Capital),Lone,399,12,Blue,VILLACONSUELO,BILIRAN,Naval South,School with no Annexes,8.0,0.0
7764,7765,Region VIII,Biliran,120882,Villacaneja ES,NAVAL (Capital),Lone,133,6,Blue,VILLACANEJA,BILIRAN,Naval South,School with no Annexes,7.0,0.0
7765,7766,Region VIII,Leyte,120981,Santiago PS,ALANGALANG,1st,33,2,Blue,SANTIAGO,LEYTE,Alangalang II,School with no Annexes,2.0,0.0
7766,7767,Region VIII,Leyte,120998,Albuera South CS,ALBUERA,4th,735,23,Blue,DAMULA-AN,LEYTE,Albuera South,School with no Annexes,18.0,3.0
7767,7768,Region VIII,Leyte,121002,San Pedro ES,ALBUERA,4th,324,12,Blue,SAN PEDRO,LEYTE,Albuera South,School with no Annexes,10.0,0.0
7768,7769,Region VIII,Leyte,121107,Matam-is Elementary School,CITY OF BAYBAY,5th,52,2,Blue,MATAM-IS,LEYTE,Baybay II,School with no Annexes,2.0,0.0
7769,7770,Region VIII,Leyte,121128,Sabang PS,CITY OF BAYBAY,5th,64,2,Blue,SABANG,LEYTE,Baybay III,School with no Annexes,2.0,0.0
7770,7771,Region VIII,Leyte,121144,Villa Mag-aso PS,CITY OF BAYBAY,5th,87,2,Blue,VILLA MAG-ASO,LEYTE,Baybay IV,School with no Annexes,3.0,0.0
7771,7772,Region VIII,Leyte,121165,Malabca ES,BURAUEN,2nd,143,7,Blue,MALABCA,LEYTE,Burauen North,School with no Annexes,7.0,0.0
7772,7773,Region VIII,Leyte,121299,Maragongdong ES,DAGAMI,2nd,146,4,Blue,MARAGONDONG,LEYTE,Dagami North,School with no Annexes,4.0,0.0
7773,7774,Region VIII,Leyte,121339,Arado Primary School,DULAG,2nd,24,1,Blue,ARADO,LEYTE,Dulag South,School with no Annexes,1.0,0.0
7774,7775,Region VIII,Leyte,121365,Owak ES,HILONGOS,5th,158,6,Blue,OWAK,LEYTE,Hilongos North,School with no Annexes,6.0,0.0
7775,7776,Region VIII,Leyte,121378,Baas ES,HILONGOS,5th,242,7,Blue,BAAS,LEYTE,Hilongos South,School with no Annexes,6.0,1.0
7776,7777,Region VIII,Leyte,121427,Macagoco ELEM. SCHOOL,INOPACAN,5th,54,3,Blue,MACAGOCO,LEYTE,Inopacan,School with no Annexes,2.0,0.0
7777,7778,Region VIII,Leyte,121460,Hibunawon ES,JARO,2nd,91,3,Blue,HIBUNAWON,LEYTE,Jaro I,School with no Annexes,3.0,0.0
7778,7779,Region VIII,Leyte,121498,Caranhug PS,JAVIER (BUGHO),5th,57,2,Blue,CARANHUG,LEYTE,Javier,School with no Annexes,2.0,0.0
7779,7780,Region VIII,Leyte,121629,Campin ES,MAHAPLAG,5th,259,6,Blue,CAMPIN,LEYTE,Mahaplag,School with no Annexes,7.0,0.0
7780,7781,Region VIII,Leyte,121727,Mahalit ES,MERIDA,4th,150,6,Blue,MAHALIT,LEYTE,Merida,School with no Annexes,6.0,0.0
7781,7782,Region VIII,Leyte,121756,Guindapunan ES,PALO,1st,341,9,Blue,GUINDAPUNAN,LEYTE,Palo II,School with no Annexes,9.0,1.0
7782,7783,Region VIII,Leyte,121811,Cabaohan ES,PASTRANA,2nd,50,2,Blue,,LEYTE,Pastrana,School with no Annexes,2.0,0.0
7783,7784,Region VIII,Leyte,121829,Banat-i Elementary School,SAN ISIDRO,3rd,297,6,Yellow,BANAT-E,LEYTE,San Isidro,School with no Annexes,7.0,0.0
7784,7785,Region VIII,Leyte,121837,Hugpa Elementary School,SAN ISIDRO,3rd,83,2,Blue,BANAT-E,LEYTE,San Isidro,School with no Annexes,2.0,0.0
7785,7786,Region VIII,Leyte,121892,Sta. Rosa ES,TABANGO,3rd,87,3,Blue,SANTA ROSA,LEYTE,Tabango North,School with no Annexes,3.0,0.0
7786,7787,Region VIII,Leyte,121907,Amandangay PS,TABONTABON,2nd,39,2,Blue,,LEYTE,Tabontabon,School with no Annexes,1.0,1.0
7787,7788,Region VIII,Leyte,121938,Maghulod Elementary School,TANAUAN,1st,134,7,Blue,MAGHULOD,LEYTE,Tanauan II,School with no Annexes,6.0,0.0
7788,7789,Region VIII,Leyte,121947,Canmogsay ES,TOLOSA,1st,116,3,Blue,CANMOGSAY,LEYTE,Tolosa,School with no Annexes,3.0,0.0
7789,7790,Region VIII,Leyte,121948,Cantariwis PS,TOLOSA,1st,28,1,Blue,CANTARIWIS,LEYTE,Tolosa,School with no Annexes,1.0,0.0
7790,7791,Region VIII,Leyte,121954,San Roque ES,TOLOSA,1st,515,11,Yellow,SAN ROQUE,LEYTE,Tolosa,School with no Annexes,11.0,0.0
7791,7792,Region VIII,Leyte,121971,Libagong ES,VILLABA,3rd,196,9,Blue,LIBAGONG,LEYTE,Villaba North,School with no Annexes,6.0,0.0
7792,7793,Region VIII,Leyte,121977,Balite ES,VILLABA,3rd,270,8,Blue,BALITE,LEYTE,Villaba South,School with no Annexes,7.0,0.0
7793,7794,Region VIII,Eastern Samar,122324,Aguinaldo ES,ARTECHE,Lone,54,1,Gold,AGUINALDO,EASTERN SAMAR,Arteche,School with no Annexes,1.0,0.0
7794,7795,Region VIII,Eastern Samar,122325,Arteche CS,ARTECHE,Lone,1089,21,Gold,GARDEN (POB.),EASTERN SAMAR,Arteche,School with no Annexes,22.0,0.0
7795,7796,Region VIII,Eastern Samar,122326,Bato Elementary School,ARTECHE,Lone,61,1,Red,BATO (SAN LUIS),EASTERN SAMAR,Arteche,School with no Annexes,3.0,0.0
7796,7797,Region VIII,Eastern Samar,122327,Beri ES,ARTECHE,Lone,168,5,Blue,BERI,EASTERN SAMAR,Arteche,School with no Annexes,5.0,0.0
7797,7798,Region VIII,Eastern Samar,122328,Bigo ES,ARTECHE,Lone,89,3,Blue,BIGO,EASTERN SAMAR,Arteche,School with no Annexes,4.0,0.0
7798,7799,Region VIII,Eastern Samar,122329,Buenavista ES,ARTECHE,Lone,86,1,Red,BUENAVISTA,EASTERN SAMAR,Arteche,School with no Annexes,1.0,0.0
7799,7800,Region VIII,Eastern Samar,122330,Cagsalay PS,ARTECHE,Lone,46,1,Yellow,CAGSALAY,EASTERN SAMAR,Arteche,School with no Annexes,2.0,0.0
7800,7801,Region VIII,Eastern Samar,122331,Campacion PS,ARTECHE,Lone,26,0,Black,CAMPACION,EASTERN SAMAR,Arteche,School with no Annexes,1.0,0.0
7801,7802,Region VIII,Eastern Samar,122332,Carapdapan ES,ARTECHE,Lone,371,9,Blue,CARAPDAPAN,EASTERN SAMAR,Arteche,School with no Annexes,6.0,1.0
7802,7803,Region VIII,Eastern Samar,122333,Casidman PS,ARTECHE,Lone,33,1,Blue,CASIDMAN,EASTERN SAMAR,Arteche,School with no Annexes,1.0,0.0
7803,7804,Region VIII,Eastern Samar,122334,Catumsan ES,ARTECHE,Lone,281,6,Yellow,CATUMSAN,EASTERN SAMAR,Arteche,School with no Annexes,9.0,0.0
7804,7805,Region VIII,Eastern Samar,122335,Concepcion ES,ARTECHE,Lone,411,7,Red,CONCEPCION,EASTERN SAMAR,Arteche,School with no Annexes,9.0,0.0
7805,7806,Region VIII,Eastern Samar,122336,Macarthur PS,ARTECHE,Lone,35,2,Blue,MACARTHUR,EASTERN SAMAR,Arteche,School with no Annexes,1.0,1.0
7806,7807,Region VIII,Eastern Samar,122337,Tangbo ES,ARTECHE,Lone,320,8,Blue,TANGBO,EASTERN SAMAR,Arteche,School with no Annexes,9.0,0.0
7807,7808,Region VIII,Eastern Samar,122338,Tawagan ES,ARTECHE,Lone,112,4,Blue,TAWAGAN,EASTERN SAMAR,Arteche,School with no Annexes,4.0,0.0
7808,7809,Region VIII,Eastern Samar,122339,Tibalawon PS,ARTECHE,Lone,25,1,Blue,TEBALAWON,EASTERN SAMAR,Arteche,School with no Annexes,0.0,0.0
7809,7810,Region VIII,Eastern Samar,122340,Bacjao ES,BALANGIGA,Lone,86,6,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,5.0,0.0
7810,7811,Region VIII,Eastern Samar,122341,Balangiga CS,BALANGIGA,Lone,993,34,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,29.0,0.0
7811,7812,Region VIII,Eastern Samar,122342,Bangon ES,BALANGIGA,Lone,79,3,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,2.0,0.0
7812,7813,Region VIII,Eastern Samar,122343,Beta-og ES,LAWAAN,Lone,100,3,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,3.0,0.0
7813,7814,Region VIII,Eastern Samar,122344,Bolusao ES,LAWAAN,Lone,278,7,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,8.0,0.0
7814,7815,Region VIII,Eastern Samar,122345,Cag-olango ES,BALANGIGA,Lone,86,3,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,4.0,0.0
7815,7816,Region VIII,Eastern Samar,122346,Cansumangkay ES,BALANGIGA,Lone,169,6,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,6.0,0.0
7816,7817,Region VIII,Eastern Samar,122347,Guinmaayohan ES,BALANGIGA,Lone,227,7,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,6.0,0.0
7817,7818,Region VIII,Eastern Samar,122348,Guinob-an ES,LAWAAN,Lone,159,4,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,7.0,0.0
7818,7819,Region VIII,Eastern Samar,122349,Lawaan CS,LAWAAN,Lone,1044,22,Yellow,,EASTERN SAMAR,Lawaan,School with no Annexes,25.0,0.0
7819,7820,Region VIII,Eastern Samar,122350,Maslog ES,LAWAAN,Lone,245,10,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,11.0,0.0
7820,7821,Region VIII,Eastern Samar,122351,Maybunga Elementary School,BALANGIGA,Lone,39,3,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,3.0,0.0
7821,7822,Region VIII,Eastern Samar,122352,San Isidro PS,LAWAAN,Lone,21,1,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,0.0,0.0
7822,7823,Region VIII,Eastern Samar,122353,San Miguel ES,BALANGIGA,Lone,265,9,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,8.0,0.0
7823,7824,Region VIII,Eastern Samar,122354,Sta. Rosa ES,BALANGIGA,Lone,388,12,Blue,,EASTERN SAMAR,Balangiga-Lawaan,School with no Annexes,13.0,0.0
7824,7825,Region VIII,Eastern Samar,122355,Taguite Elementary School,LAWAAN,Lone,194,6,Blue,,EASTERN SAMAR,Lawaan,School with no Annexes,6.0,0.0
7825,7826,Region VIII,Eastern Samar,122356,Bato ES,CITY OF BORONGAN (Capital),Lone,518,15,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,15.0,0.0
7826,7827,Region VIII,Eastern Samar,122357,Calico-an ES,CITY OF BORONGAN (Capital),Lone,70,3,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,3.0,0.0
7827,7828,Region VIII,Eastern Samar,122358,Calingatngan ES,CITY OF BORONGAN (Capital),Lone,316,9,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,10.0,0.0
7828,7829,Region VIII,Eastern Samar,122359,Eugenio A. Abunda ES,CITY OF BORONGAN (Capital),Lone,371,13,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,15.0,0.0
7829,7830,Region VIII,Eastern Samar,122360,Cati-an PS,CITY OF BORONGAN (Capital),Lone,25,1,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,1.0,0.0
7830,7831,Region VIII,Eastern Samar,122361,E. S. Daza Pilot C/S,CITY OF BORONGAN (Capital),Lone,2078,45,Yellow,,EASTERN SAMAR,Borongan East,School with no Annexes,53.0,0.0
7831,7832,Region VIII,Eastern Samar,122362,San Gabriel ES,CITY OF BORONGAN (Capital),Lone,215,11,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,7.0,4.0
7832,7833,Region VIII,Eastern Samar,122363,San Jose ES,CITY OF BORONGAN (Capital),Lone,158,6,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,6.0,0.0
7833,7834,Region VIII,Eastern Samar,122364,Siha ES,CITY OF BORONGAN (Capital),Lone,215,8,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,7.0,0.0
7834,7835,Region VIII,Eastern Samar,122365,Songco ES,CITY OF BORONGAN (Capital),Lone,296,13,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,13.0,0.0
7835,7836,Region VIII,Eastern Samar,122366,Suhotan PS,CITY OF BORONGAN (Capital),Lone,12,1,Blue,,EASTERN SAMAR,Borongan East,Annex or Extension school(s),1.0,0.0
7836,7837,Region VIII,Eastern Samar,122367,Taboc ES,CITY OF BORONGAN (Capital),Lone,384,14,Blue,,EASTERN SAMAR,Borongan East,School with no Annexes,15.0,3.0
7837,7838,Region VIII,Eastern Samar,122368,Amantacop PS,CITY OF BORONGAN (Capital),Lone,72,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7838,7839,Region VIII,Eastern Samar,122369,Ando ES,CITY OF BORONGAN (Capital),Lone,150,3,Yellow,,EASTERN SAMAR,Borongan North,School with no Annexes,3.0,0.0
7839,7840,Region VIII,Eastern Samar,122370,Balacdas PS,CITY OF BORONGAN (Capital),Lone,24,1,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7840,7841,Region VIII,Eastern Samar,122371,Bayobay PS,CITY OF BORONGAN (Capital),Lone,69,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,3.0,0.0
7841,7842,Region VIII,Eastern Samar,122372,Bugas ES,CITY OF BORONGAN (Capital),Lone,385,11,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,10.0,0.0
7842,7843,Region VIII,Eastern Samar,122373,Cagbonga PS,CITY OF BORONGAN (Capital),Lone,44,0,Black,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7843,7844,Region VIII,Eastern Samar,122375,Canjaway ES,CITY OF BORONGAN (Capital),Lone,101,3,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,4.0,0.0
7844,7845,Region VIII,Eastern Samar,122376,Hindang ES,CITY OF BORONGAN (Capital),Lone,171,9,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,7.0,0.0
7845,7846,Region VIII,Eastern Samar,122377,Libuton ES,CITY OF BORONGAN (Capital),Lone,135,6,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,6.0,0.0
7846,7847,Region VIII,Eastern Samar,122378,Maybacong PS,CITY OF BORONGAN (Capital),Lone,30,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7847,7848,Region VIII,Eastern Samar,122379,Maypangdan ES,CITY OF BORONGAN (Capital),Lone,563,15,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,13.0,0.0
7848,7849,Region VIII,Eastern Samar,122381,Punta Maria ES,CITY OF BORONGAN (Capital),Lone,66,5,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,5.0,0.0
7849,7850,Region VIII,Eastern Samar,122382,Sabang CS,CITY OF BORONGAN (Capital),Lone,548,17,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,19.0,0.0
7850,7851,Region VIII,Eastern Samar,122383,San Andres Lower PS,CITY OF BORONGAN (Capital),Lone,17,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7851,7852,Region VIII,Eastern Samar,122384,San Andres Upper PS,CITY OF BORONGAN (Capital),Lone,56,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7852,7853,Region VIII,Eastern Samar,122385,San Mateo ES,CITY OF BORONGAN (Capital),Lone,294,9,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,6.0,0.0
7853,7854,Region VIII,Eastern Samar,122386,San Pablo PS,CITY OF BORONGAN (Capital),Lone,21,1,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,1.0,0.0
7854,7855,Region VIII,Eastern Samar,122387,San Saturnino ES,CITY OF BORONGAN (Capital),Lone,253,14,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,14.0,1.0
7855,7856,Region VIII,Eastern Samar,122388,Sta. Fe ES,CITY OF BORONGAN (Capital),Lone,262,9,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,9.0,0.0
7856,7857,Region VIII,Eastern Samar,122389,Surok ES,CITY OF BORONGAN (Capital),Lone,136,6,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,6.0,0.0
7857,7858,Region VIII,Eastern Samar,122390,Tabunan ES,CITY OF BORONGAN (Capital),Lone,421,13,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,12.0,0.0
7858,7859,Region VIII,Eastern Samar,122391,Tamoso Primary School,CITY OF BORONGAN (Capital),Lone,40,2,Blue,,EASTERN SAMAR,Borongan North,School with no Annexes,2.0,0.0
7859,7860,Region VIII,Eastern Samar,122392,Bagong Barrio ES,CITY OF BORONGAN (Capital),Lone,178,3,Red,PINANAG-AN,EASTERN SAMAR,Borongan South,School with no Annexes,3.0,0.0
7860,7861,Region VIII,Eastern Samar,122393,Banuyo ES,CITY OF BORONGAN (Capital),Lone,117,2,Red,BANUYO,EASTERN SAMAR,Borongan South,School with no Annexes,4.0,0.0
7861,7862,Region VIII,Eastern Samar,122394,Baras ES,CITY OF BORONGAN (Capital),Lone,84,3,Blue,,EASTERN SAMAR,Borongan South,School with no Annexes,3.0,0.0
7862,7863,Region VIII,Eastern Samar,122395,Benowangan ES,CITY OF BORONGAN (Capital),Lone,204,2,Red,BENOWANGAN,EASTERN SAMAR,Borongan South,School with no Annexes,3.0,0.0
7863,7864,Region VIII,Eastern Samar,122396,Cabalagnan ES,CITY OF BORONGAN (Capital),Lone,51,2,Blue,CABALAGNAN,EASTERN SAMAR,Borongan South,School with no Annexes,2.0,0.0
7864,7865,Region VIII,Eastern Samar,122397,Cabong ES,CITY OF BORONGAN (Capital),Lone,186,4,Yellow,CABONG,EASTERN SAMAR,Borongan South,School with no Annexes,6.0,0.0
7865,7866,Region VIII,Eastern Samar,122398,Camada ES,CITY OF BORONGAN (Capital),Lone,71,3,Blue,CAMADA,EASTERN SAMAR,Borongan South,School with no Annexes,4.0,0.0
7866,7867,Region VIII,Eastern Samar,122399,Can-abong ES,CITY OF BORONGAN (Capital),Lone,214,7,Blue,CAN-ABONG,EASTERN SAMAR,Borongan South,School with no Annexes,6.0,0.0
7867,7868,Region VIII,Eastern Samar,122400,Canyupay ES,CITY OF BORONGAN (Capital),Lone,44,3,Blue,CANYOPAY,EASTERN SAMAR,Borongan South,School with no Annexes,2.0,0.0
7868,7869,Region VIII,Eastern Samar,122401,Divinubo ES,CITY OF BORONGAN (Capital),Lone,139,5,Blue,DIVINUBO,EASTERN SAMAR,Borongan South,School with no Annexes,4.0,0.0
7869,7870,Region VIII,Eastern Samar,122402,Hebacong ES,CITY OF BORONGAN (Capital),Lone,64,2,Blue,,EASTERN SAMAR,Borongan South,School with no Annexes,3.0,0.0
7870,7871,Region VIII,Eastern Samar,122403,Lalawigan CS,CITY OF BORONGAN (Capital),Lone,362,15,Blue,LALAWIGAN,EASTERN SAMAR,Borongan South,School with no Annexes,14.0,0.0
7871,7872,Region VIII,Eastern Samar,122404,Locso-on ES,CITY OF BORONGAN (Capital),Lone,214,7,Blue,,EASTERN SAMAR,Borongan South,School with no Annexes,7.0,0.0
7872,7873,Region VIII,Eastern Samar,122405,Pinanag-an ES,CITY OF BORONGAN (Capital),Lone,77,3,Blue,,EASTERN SAMAR,Borongan South,School with no Annexes,3.0,0.0
7873,7874,Region VIII,Eastern Samar,122406,San Gregorio ES,CITY OF BORONGAN (Capital),Lone,67,1,Red,,EASTERN SAMAR,Borongan South,School with no Annexes,4.0,0.0
7874,7875,Region VIII,Eastern Samar,122407,Suribao ES,CITY OF BORONGAN (Capital),Lone,193,6,Blue,,EASTERN SAMAR,Borongan South,School with no Annexes,6.0,0.0
7875,7876,Region VIII,Eastern Samar,122408,Balagon ES,CAN-AVID,Lone,72,3,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,3.0,0.0
7876,7877,Region VIII,Eastern Samar,122409,Baruk ES,CAN-AVID,Lone,177,3,Red,,EASTERN SAMAR,Can-Avid,School with no Annexes,4.0,0.0
7877,7878,Region VIII,Eastern Samar,122410,Boco ES,CAN-AVID,Lone,113,3,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,6.0,0.0
7878,7879,Region VIII,Eastern Samar,122411,Caghalong PS,CAN-AVID,Lone,25,2,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,2.0,0.0
7879,7880,Region VIII,Eastern Samar,122412,Camantang ES,CAN-AVID,Lone,314,6,Gold,,EASTERN SAMAR,Can-Avid,School with no Annexes,6.0,0.0
7880,7881,Region VIII,Eastern Samar,122413,Can-avid CS,CAN-AVID,Lone,1316,31,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,37.0,0.0
7881,7882,Region VIII,Eastern Samar,122414,Can-ilay ES,CAN-AVID,Lone,287,5,Red,,EASTERN SAMAR,Can-Avid,School with no Annexes,5.0,0.0
7882,7883,Region VIII,Eastern Samar,122415,Cansangaya ELementary School,CAN-AVID,Lone,202,7,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,8.0,0.0
7883,7884,Region VIII,Eastern Samar,122416,Canteros ES,CAN-AVID,Lone,143,6,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,6.0,0.0
7884,7885,Region VIII,Eastern Samar,122417,Carolina ES,CAN-AVID,Lone,242,7,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,7.0,0.0
7885,7886,Region VIII,Eastern Samar,122418,Guibuangan ES,CAN-AVID,Lone,55,3,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,4.0,0.0
7886,7887,Region VIII,Eastern Samar,122419,Jepaco ES,CAN-AVID,Lone,44,1,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,1.0,0.0
7887,7888,Region VIII,Eastern Samar,122420,Mabuhay ES,CAN-AVID,Lone,130,7,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,5.0,0.0
7888,7889,Region VIII,Eastern Samar,122421,Malogo ES,CAN-AVID,Lone,140,3,Yellow,,EASTERN SAMAR,Can-Avid,School with no Annexes,4.0,0.0
7889,7890,Region VIII,Eastern Samar,122422,Obong PS,CAN-AVID,Lone,25,1,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,1.0,0.0
7890,7891,Region VIII,Eastern Samar,122423,Pandol ES,CAN-AVID,Lone,81,2,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,1.0,0.0
7891,7892,Region VIII,Eastern Samar,122424,Rawis ES,CAN-AVID,Lone,146,3,Yellow,,EASTERN SAMAR,Can-Avid,School with no Annexes,5.0,0.0
7892,7893,Region VIII,Eastern Samar,122425,Salvacion Elementary School,CAN-AVID,Lone,104,3,Blue,,EASTERN SAMAR,Can-Avid,School with no Annexes,2.0,0.0
7893,7894,Region VIII,Eastern Samar,122426,Solong Elementary School,CAN-AVID,Lone,116,2,Red,,EASTERN SAMAR,Can-Avid,School with no Annexes,4.0,0.0
7894,7895,Region VIII,Eastern Samar,122427,Bonghon ES,DOLORES,Lone,102,0,Black,,EASTERN SAMAR,Dolores I,School with no Annexes,2.0,0.0
7895,7896,Region VIII,Eastern Samar,122428,Botnga PS,DOLORES,Lone,18,1,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,1.0,0.0
7896,7897,Region VIII,Eastern Samar,122429,Buenavista ES,DOLORES,Lone,132,5,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,4.0,2.0
7897,7898,Region VIII,Eastern Samar,122430,Caglao-an ES,DOLORES,Lone,211,7,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,6.0,0.0
7898,7899,Region VIII,Eastern Samar,122431,Del Pilar ES,DOLORES,Lone,88,2,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,2.0,0.0
7899,7900,Region VIII,Eastern Samar,122432,Denigpi-an ES,DOLORES,Lone,123,3,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,3.0,0.0
7900,7901,Region VIII,Eastern Samar,122433,Dolores CS,DOLORES,Lone,2171,31,Red,,EASTERN SAMAR,Dolores I,School with no Annexes,53.0,0.0
7901,7902,Region VIII,Eastern Samar,122434,Hilabaan ES,DOLORES,Lone,375,11,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,10.0,0.0
7902,7903,Region VIII,Eastern Samar,122435,Malaintos ES,DOLORES,Lone,169,5,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,5.0,0.0
7903,7904,Region VIII,Eastern Samar,122436,Rizal ES,DOLORES,Lone,188,4,Yellow,,EASTERN SAMAR,Dolores I,School with no Annexes,4.0,0.0
7904,7905,Region VIII,Eastern Samar,122437,San Isidro ES,DOLORES,Lone,69,3,Blue,,EASTERN SAMAR,Dolores I,School with no Annexes,3.0,0.0
7905,7906,Region VIII,Eastern Samar,122438,San Pascual ES,DOLORES,Lone,134,2,Red,,EASTERN SAMAR,Dolores I,School with no Annexes,2.0,0.0
